node1,node2,directed_BOOLEAN,weight_DOUBLE
10018947293,16244704794,true,1
10018947293,30131215989,true,1
10018947293,45567921967,true,1
10018947293,52063150785,true,2
10018947293,54539779400,true,1
10018947293,55558033919,true,1
10018947293,58602884866,true,1
10018947293,58771155904,true,1
10018947293,7046944220,true,1
10018947293,8197048839,true,1
10080797075,76912472971,true,1
10097253540,13521455499,true,1
10099278844,3053171007,true,1
10104042795,36745531780,true,1
10125949832,47403070796,true,2
10130986437,48011131551,true,1
10155658002,2573060437,true,1
10174679460,10019259791,true,1
1021892320,52063150785,true,1
1021892320,79990573179,true,1
10266366812,70716053249,true,1
10322006202,1258722623,true,1
10322006202,1349990567,true,7
10322006202,1428379464,true,1
10322006202,1429993141,true,1
10322006202,1532330030,true,1
10322006202,1626863218,true,1
10322006202,20307151044,true,1
10322006202,26578017908,true,1
10322006202,34169135973,true,1
10322006202,45498129186,true,1
10322006202,49965208484,true,1
10322006202,50371076522,true,1
10322006202,54338506635,true,1
10322006202,5446537076,true,2
10322006202,5496840166,true,4
10322006202,55159803347,true,1
10322006202,56463117828,true,2
10322006202,59178182630,true,1
10322006202,62710541203,true,1
10322006202,64295777211,true,1
10322006202,65386403098,true,1
10322006202,8429012715,true,1
10322006202,9128714992,true,17
10322006202,9360930990,true,1
10322006202,977354020,true,1
10339995862,10322006202,true,1
10339995862,1428379464,true,1
10339995862,34169135973,true,1
10339995862,4142919614,true,1
10339995862,54338506635,true,1
10339995862,6873620552,true,1
10339995862,6877448934,true,11
10356934809,6761546762,true,1
10368045426,4030069349,true,1
10368045426,64236196679,true,1
10377726099,9383337880,true,1
10409862999,4474942838,true,1
10452669540,10322006202,true,1
10452669540,2135766792,true,1
10455422399,55647110632,true,1
10479551387,52645993458,true,1
10487286818,38330813141,true,1
10507240092,10816585053,true,1
10507240092,1108214757,true,2
10507240092,1929875881,true,1
10507240092,1949382920,true,2
10507240092,2056423814,true,1
10507240092,2097820890,true,2
10507240092,2371417890,true,1
10507240092,2980760951,true,2
10507240092,33278681976,true,1
10507240092,39655768681,true,1
10507240092,4207745423,true,1
10507240092,46086814953,true,1
10507240092,47640575848,true,1
10507240092,49965208484,true,1
10507240092,51180902007,true,1
10507240092,53104155442,true,1
10507240092,5438692273,true,1
10507240092,55159803347,true,1
10507240092,57246458655,true,2
10507240092,57905187468,true,1
10507240092,58277343502,true,1
10507240092,5871863840,true,1
10507240092,59561885322,true,2
10507240092,6042618548,true,2
10507240092,61623044455,true,1
10507240092,63246939730,true,1
10507240092,7219800846,true,3
10507240092,9128714992,true,2
10507240092,9649341779,true,1
1056385774,1949382920,true,1
1056385774,34949688229,true,1
1056385774,61388933703,true,1
1056385774,73222501641,true,1
10598419918,3691146947,true,1
10655309060,8500532298,true,1
1066743599,32912535458,true,1
1079508912,1946931907,true,1
1080043990,46456176818,true,1
1080043990,56175506415,true,1
1080043990,56328948361,true,3
1080043990,57123941994,true,1
10816585053,10322006202,true,1
10816585053,1428379464,true,1
10816585053,43930632744,true,1
10816585053,4443699106,true,1
10816585053,57294144792,true,1
10816585053,59561885322,true,1
10816585053,63477438560,true,1
10816585053,73222501641,true,2
10835090419,57338201993,true,1
10840631435,57088689725,true,1
10848930113,1929064780,true,1
10873286670,1576482205,true,1
10878718513,19272467460,true,1
10878718513,3144910593,true,1
10882202917,52063150785,true,1
10888195646,1393497204,true,2
10888195646,20947600411,true,4
10888195646,2989990696,true,1
10888195646,4516166788,true,2
10889015618,48858131,true,1
10889015618,7219800846,true,2
10901058242,2961266954,true,1
10910441823,45382848013,true,1
10923217562,1552826917,true,1
10929067211,58277343502,true,1
10960811070,26578017908,true,1
10960811070,34169135973,true,1
10960811070,4324546339,true,1
10960811070,53193639140,true,1
10960811070,6827184794,true,1
10971199113,12857211264,true,1
1108214757,10322006202,true,1
1108214757,18015517515,true,1
1108214757,1949382920,true,1
1108214757,2977361301,true,1
1108214757,2980760951,true,1
1108214757,3476828079,true,1
1108214757,35194121186,true,1
1108214757,364081256,true,1
1108214757,43930632744,true,1
1108214757,44687134548,true,1
1108214757,46086814953,true,1
1108214757,4663479799,true,1
1108214757,57859750990,true,1
1108214757,59807915743,true,1
1108214757,8138762659,true,1
1108214757,8975132374,true,2
11112933756,1349990567,true,1
11112933756,2314422989,true,1
11112933756,34169135973,true,1
11112933756,3929685484,true,1
11112933756,4094087802,true,1
11112933756,42694743294,true,1
11112933756,44687134548,true,1
11112933756,49523684033,true,2
11112933756,49634808490,true,1
11112933756,5446537076,true,1
11112933756,61623044455,true,1
11112933756,65334690317,true,1
11112933756,6889993866,true,1
11112933756,70046400860,true,1
1111412441,62700337301,true,1
1112213605,52063150785,true,1
11210761391,48041599307,true,1
11296565773,5496840166,true,1
1134584720,1576482205,true,1
1134584720,52063150785,true,1
11367171453,1929064780,true,1
11367616450,54539779400,true,2
11454578240,3023307488,true,1
11454839565,32912535458,true,1
1146334914,26079694411,true,1
1146334914,599085265,true,1
11474784563,1243162482,true,1
11582017790,2271203383,true,1
1161200849,1949382920,true,1
1161200849,2894594837,true,1
11612179314,1532330030,true,1
11612179314,45289513168,true,2
11612179314,5724312801,true,1
1165521385,56328948361,true,1
11698937946,8044052090,true,1
1172335576,56107296337,true,1
11768954401,1949382920,true,2
11768954401,48170587263,true,1
11768954401,53615379225,true,1
11768954401,59807915743,true,1
11795934107,24421621653,true,1
11813293417,1603217184,true,1
1181398262,1949382920,true,2
1181398262,61127210528,true,2
1181834874,52153764439,true,1
1181834874,6934430323,true,1
1181834874,7219800846,true,1
11830584559,1626955813,true,2
1184424073,6689203236,true,1
1190774614,10018947293,true,1
1190774614,13521455499,true,1
1190774614,30832069937,true,2
1190774614,364081256,true,1
1190774614,4207745423,true,1
1190774614,4684195386,true,1
1190774614,56345026719,true,1
12021472217,1726901556,true,9
12021472217,44072832715,true,5
12067443746,68117949802,true,1
12079060986,13518384167,true,1
12079060986,55159803347,true,1
1211201261,65369297377,true,2
12138833224,4762463756,true,1
1216090061,51665830889,true,1
12270647043,51479023680,true,1
12301439670,3252615078,true,1
12301439670,48938335548,true,1
12301439670,59258648411,true,1
1232392394,3144910593,true,1
1232392394,75533149109,true,1
12332063652,1824890341,true,1
12332063652,20038675071,true,1
12332063652,45482541793,true,1
12332063652,45866686277,true,1
12332063652,5612424516,true,1
12332063652,58184390121,true,4
12332063652,9649499046,true,1
1234842352,52063150785,true,1
