algorithm,avg_time,std_time,avg_num_communities,avg_modularity,std_modularity,largest_community_size,smallest_community_size
Louvain,0.00419321060180664,0.0003882780656908719,6.0,0.56583254015467,0.00046466580976372874,24.0,6.0
Label Propagation,0.002000284194946289,0.0012465575395618422,5.0,0.49710559190957754,0.03151241030229861,29.6,7.2
Greedy Modularity,0.013799428939819336,0.0007514551649380845,5.0,0.4729424449732303,5.551115123125783e-17,26.0,6.0
