algorithm,avg_time,std_time,avg_num_communities,avg_modularity,std_modularity,largest_community_size,smallest_community_size
Louvain,0.003807210922241211,0.00040433748661501293,6.0,0.56583254015467,0.00046466580976372874,24.0,6.0
Label Propagation,0.0021973609924316405,0.001457539395460752,5.0,0.49710559190957754,0.03151241030229861,29.6,7.2
Greedy Modularity,0.012601852416992188,0.0004945786404684703,5.0,0.4729424449732303,5.551115123125783e-17,26.0,6.0
